Customer ID,Toll Time,Toll Status,Toll Point,Amount,Timezone,State,Connection Status
CUST001,2026-04-01 08:15:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-01 17:45:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-02 07:30:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-02 18:15:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-03 08:00:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-03 17:50:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-04 07:45:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-04 18:20:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-05 08:30:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-05 17:30:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-08 07:15:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-08 18:00:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-09 08:45:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-09 17:40:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-10 07:50:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-10 18:10:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-11 08:20:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-11 17:55:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-12 07:30:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-12 18:30:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-15 08:00:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-15 17:45:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-16 08:15:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-16 18:00:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-17 07:40:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-17 17:50:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-18 08:25:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-18 18:15:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-19 07:55:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-19 17:35:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-22 08:10:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-22 18:20:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-23 07:45:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-23 17:40:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-24 08:30:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-24 18:10:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-25 07:50:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-25 18:00:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST001,2026-04-26 08:15:00,completed,I-95 North Toll,3.50,EST,FL,connected
CUST001,2026-04-26 17:45:00,completed,I-95 South Toll,3.50,EST,FL,connected
CUST002,2026-04-01 09:00:00,completed,Florida Turnpike,2.75,EST,FL,connected
CUST002,2026-04-01 16:30:00,completed,Florida Turnpike,2.75,EST,FL,connected
CUST002,2026-04-02 08:45:00,completed,Florida Turnpike,2.75,EST,FL,connected
CUST002,2026-04-02 16:15:00,completed,Florida Turnpike,2.75,EST,FL,connected
CUST002,2026-04-03 09:20:00,completed,Florida Turnpike,2.75,EST,FL,connected
CUST002,2026-04-03 17:00:00,completed,Florida Turnpike,2.75,EST,FL,connected
CUST002,2026-04-04 08:30:00,completed,Florida Turnpike,2.75,EST,FL,connected
CUST002,2026-04-04 16:45:00,completed,Florida Turnpike,2.75,EST,FL,connected
CUST002,2026-04-05 09:15:00,completed,Florida Turnpike,2.75,EST,FL,connected
CUST002,2026-04-05 16:40:00,completed,Florida Turnpike,2.75,EST,FL,connected
CUST002,2026-04-08 08:50:00,completed,Florida Turnpike,2.75,EST,FL,connected
CUST002,2026-04-08 17:20:00,completed,Florida Turnpike,2.75,EST,FL,connected
